model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
LinearSVC,0.9703737174796049,0.9500577744132852,0.8602298285680995,0.8976224484286799,0.970447236170476,0.9703737174796049,0.9700632528223166
RidgeClassifier,0.9588758515346041,0.940384121684362,0.8257302578108767,0.8720249312989158,0.9588915215244166,0.9588758515346041,0.9581797688497876
RandomForest,0.9635810867226907,0.9272009171998721,0.8358319167984558,0.8704061634378667,0.963947073898323,0.9635810867226907,0.9633459417528767
DecisionTree,0.9483308202727858,0.895865487762945,0.8074438793501018,0.840088712774373,0.9485146614540817,0.9483308202727858,0.9480116108515798
LogisticRegression,0.9571322622947599,0.926508639867573,0.7584813744898615,0.8200876953164457,0.9582089940167333,0.9571322622947599,0.9565888248926389
ComplementNB,0.9143824010451712,0.9067797844554903,0.7200785429522479,0.7759499679737278,0.9142187426976099,0.9143824010451712,0.9120061156973359
SGDClassifier,0.9036851126948031,0.8641878050817628,0.6541753374831651,0.7201266869732954,0.9082184999426596,0.9036851126948031,0.9003877003087019
MultinomialNB,0.8639018089124424,0.6121291503790881,0.3246647457235985,0.3712737297484711,0.873301882476218,0.8639018089124424,0.8476850403765619
